SampleID,Height,MeanEst,Site,Sample,Site,Transect,ERT,ID,LocationX,LocationY,Species,SPP,Height,Height,AreaL,AreaW,Area,CrestTrough,Notes
NB1100,0,1998.5,NB1,1,Nakvak,1,1,NB1-1,-60,0,BEGL,B. glandulosa,18,0.18,0.59,0.38,0.22,,
NB1200,0,2007,NB1,2,Nakvak,1,1,NB1-2,19,-2.1,BEGL,B. glandulosa,31,0.31,0.26,0.2,0.05,,
NB1300,0,2006,NB1,3,Nakvak,1,1,NB1-3,21.3,-2.23,BEGL,B. glandulosa,28,0.28,0.76,0.46,0.35,,
NB1400,0,2007,NB1,4,Nakvak,1,1,NB1-4,21.3,8.85,BEGL,B. glandulosa,16,0.16,0.51,0.64,0.33,,
NB1500,0,2011,NB1,5,Nakvak,1,1,NB1-5,23.2,-4.3,SAAL,Salix sp.,22,0.22,0.74,0.31,0.23,,"photo 810, 811: entered as SALIX RED"
NB1600,0,2011,NB1,6,Nakvak,1,1,NB1-6,24.2,-5.3,SAPE?,S. pedicellaris,59,0.59,0.67,0.58,0.39,,"photo 812, 813; entered as SALIX RED"
NB1700,0,2005,NB1,7,Nakvak,1,1,NB1-7,26,-5.5,SAPE?,S. pedicellaris,57,0.57,0.73,0.52,0.38,,thawed at 84
NB1800,0,2000,NB1,8,Nakvak,1,1,NB1-8,31,10.37,BEGL,B. glandulosa,13,0.13,0.22,0.18,0.04,,
NB1900,0,2005,NB1,9,Nakvak,1,1,NB1-9,31.4,13.35,BEGL,B. glandulosa,22,0.22,0.76,0.3,0.23,,
NB11000,0,2003,NB1,10,Nakvak,1,1,NB1-10,9,3.4,BEGL,B. glandulosa,14,0.14,0.32,0.2,0.06,,"resprout, larger root, photo 823"
NB20,0,2004,NB2,0,Nakvak,2,2,NB2-1,11.1,-1.2,BEGL,B. glandulosa,25,0.25,0.66,0.58,0.38,,big leaves
NB22,0,2004,NB2,2,Nakvak,2,2,NB2-2,15.9,-2.7,BEGL,B. glandulosa,43,0.43,1.01,1.01,1.02,,
NB23,0,2006,NB2,3,Nakvak,2,2,NB2-3,17.7,-2.8,BEGL,B. glandulosa,25,0.25,0.88,1.05,0.92,,eaten
NB24,0,2006,NB2,4,Nakvak,2,2,NB2-4,32.6,-3.4,BEGL,B. glandulosa,33,0.33,1.87,1.62,3.03,,eaten
NB301,0,2006,NB3,1,Nakvak,3,7,NB3-1,2.1,-1.55,SAPE,S. pedicellaris,44,0.44,0.59,0.57,0.34,,not flowering
NB302,0,2006,NB3,2,Nakvak,3,7,NB3-2,2.5,2.82,SAPE,S. pedicellaris,41,0.41,0.7,0.58,0.41,,not flowering
NB303,0,2000,NB3,3,Nakvak,3,7,NB3-3,14,-8.2,BEGL,B. glandulosa,33,0.33,0.93,0.67,0.62,,not flowering
NB304,0,2014,NB3,4,Nakvak,3,7,NB3-4,15.81,-0.53,SAPE,S. pedicellaris,39,0.39,0.55,0.55,0.3,,sample in two pieces; not flowering
NB305,0,2010,NB3,5,Nakvak,3,7,NB3-5,23.5,-4.6,BEGL,B. glandulosa,21,0.21,0.5,0.48,0.24,,flowering
NB306,0,2011,NB3,6,Nakvak,3,7,NB3-6,32.9,1.1,SAPE,S. pedicellaris,34,0.34,0.92,0.79,0.73,,not flowering
NB307,0,2000,NB3,7,Nakvak,3,7,NB3-7,33.9,-9,BEGL,B. glandulosa,30,0.3,0.27,0.26,0.07,,flowering
NB308,0,2014,NB3,8,Nakvak,3,7,NB3-8,37.5,3.5,SAPE,S. pedicellaris,59,0.59,1.45,1,1.45,,not flowering
NB309,0,2006,NB3,9,Nakvak,3,7,NB3-9,45.2,1.6,BEGL,B. glandulosa,21,0.21,1.4,1.4,1.96,,flowering
NB310,0,2006,NB3,10,Nakvak,3,7,NB3-10,65.5,2.5,BEGL,B. glandulosa,39,0.39,0.84,1,0.84,,flowering
NB311,0,1997,NB3,11,Nakvak,3,7,NB3-11,44.9,4,BEGL,B. glandulosa,24,0.24,0.53,0.32,0.17,,flowering
NB312,0,2003,NB3,12,Nakvak,3,7,NB3-12,68.2,-3.5,BEGL,B. glandulosa,27,0.27,0.69,0.69,0.48,,flowering
